step,round,primary_run,rollout/dynamic_filter/drop_shopsim_unscored_technical_group,rollout/dynamic_filter/drop_shopsim_zero_std_group,rollout/shopsim/trajectory_count,rollout/shopsim/group_count,rollout/shopsim/scored_rate,rollout/shopsim/reward_mean,rollout/shopsim/strict_reward_mean,rollout/shopsim/success_rate,rollout/shopsim/skill_free_group_rate,rollout/shopsim/assisted_empty_group_rate,rollout/shopsim/skills_per_assisted_group_mean,rollout/shopsim/chunk/chunk-27a7e5bb9344/inclusion_rate,rollout/shopsim/chunk/chunk-27a7e5bb9344/target_rho,rollout/shopsim/chunk/chunk-a9e98e128a35/inclusion_rate,rollout/shopsim/chunk/chunk-a9e98e128a35/target_rho,rollout/shopsim/chunk/chunk-a71a5634ee99/inclusion_rate,rollout/shopsim/chunk/chunk-a71a5634ee99/target_rho,rollout/shopsim/chunk/chunk-4d958fc1d69e/inclusion_rate,rollout/shopsim/chunk/chunk-4d958fc1d69e/target_rho,rollout/shopsim/chunk/chunk-bbe6cb9408eb/inclusion_rate,rollout/shopsim/chunk/chunk-bbe6cb9408eb/target_rho,rollout/shopsim/chunk/chunk-d3a9ac5af7ef/inclusion_rate,rollout/shopsim/chunk/chunk-d3a9ac5af7ef/target_rho,rollout/shopsim/chunk/chunk-b64b0567ce98/inclusion_rate,rollout/shopsim/chunk/chunk-b64b0567ce98/target_rho,rollout/shopsim/chunk/chunk-f58e352cdad0/inclusion_rate,rollout/shopsim/chunk/chunk-f58e352cdad0/target_rho,rollout/shopsim/chunk/chunk-c83ed5ae8b70/inclusion_rate,rollout/shopsim/chunk/chunk-c83ed5ae8b70/target_rho,rollout/shopsim/chunk/chunk-1f8d27322e9f/inclusion_rate,rollout/shopsim/chunk/chunk-1f8d27322e9f/target_rho,rollout/shopsim/q,rollout/shopsim/rho_min,rollout/shopsim/rho_mean,rollout/shopsim/rho_max,rollout/shopsim/all_wrong_group_rate,rollout/shopsim/full_skill_retry_rate,rollout/shopsim/full_skill_retry_success_rate,rollout/shopsim/internalization_deficit_rate,rollout/shopsim/pending_analysis_rate,rollout/shopsim/runtime_error_group_rate,rollout/shopsim/train_group_count,rollout/shopsim/train_trajectory_count,rollout/shopsim/technical_group_drop_count,rollout/shopsim/technical_group_drop_rate,rollout/shopsim/zero_std_group_drop_count,rollout/shopsim/zero_std_group_drop_rate,rollout/shopsim/chunk/online-8e3e179b9270814a/inclusion_rate,rollout/shopsim/chunk/online-8e3e179b9270814a/target_rho,rollout/shopsim/chunk/online-bbef274e1764d953/inclusion_rate,rollout/shopsim/chunk/online-bbef274e1764d953/target_rho,rollout/shopsim/chunk/online-214dfd1028dc4157/inclusion_rate,rollout/shopsim/chunk/online-214dfd1028dc4157/target_rho,rollout/shopsim/chunk/online-3297dc4c0f4f6109/inclusion_rate,rollout/shopsim/chunk/online-3297dc4c0f4f6109/target_rho,rollout/shopsim/chunk/online-3d2cdd6a2aac9717/inclusion_rate,rollout/shopsim/chunk/online-3d2cdd6a2aac9717/target_rho,rollout/shopsim/chunk/online-ea5dd903b14ec0fc/inclusion_rate,rollout/shopsim/chunk/online-ea5dd903b14ec0fc/target_rho,rollout/shopsim/chunk/online-ebb64d6b2cfaaa2a/inclusion_rate,rollout/shopsim/chunk/online-ebb64d6b2cfaaa2a/target_rho
1,0,1,4,12,256.0,32.0,0.96484375,0.5843454790823213,0.5843454790823213,0.562753036437247,0.1875,0.0,4.538461538461538,0.5,0.4733805357216591,0.23076923076923078,0.2001840055744324,0.11538461538461539,0.2002050350677727,0.38461538461538464,0.26310000301127795,0.3076923076923077,0.49059913361494567,0.46153846153846156,0.5174498242544147,0.23076923076923078,0.38162078131953847,0.9615384615384616,0.8999999999999999,0.5384615384615384,0.48411009292619,0.8076923076923077,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.10714285714285714,0.09375,0.0,0.0,0.09375,0.125,16.0,128.0,4.0,0.2,12.0,0.42857142857142855,,,,,,,,,,,,,,
2,0,1,,16,256.0,32.0,1.0,0.5230034722222222,0.5230034722222222,0.515625,0.25,0.0,4.791666666666667,0.5,0.4733805357216591,0.20833333333333334,0.2001840055744324,0.16666666666666666,0.2002050350677727,0.3333333333333333,0.26310000301127795,0.5416666666666666,0.49059913361494567,0.5833333333333334,0.5174498242544147,0.4166666666666667,0.38162078131953847,0.9166666666666666,0.8999999999999999,0.4583333333333333,0.48411009292619,0.6666666666666666,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.25,0.25,0.25,0.0625,0.1875,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
3,0,1,,16,256.0,32.0,1.0,0.5738932291666666,0.5738932291666666,0.5625,0.15625,0.0,4.888888888888889,0.48148148148148145,0.4733805357216591,0.25925925925925924,0.2001840055744324,0.2962962962962963,0.2002050350677727,0.25925925925925924,0.26310000301127795,0.48148148148148145,0.49059913361494567,0.6296296296296297,0.5174498242544147,0.48148148148148145,0.38162078131953847,1.0,0.8999999999999999,0.48148148148148145,0.48411009292619,0.5185185185185185,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.1875,0.1875,0.16666666666666666,0.03125,0.15625,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
4,0,1,,16,256.0,32.0,1.0,0.5943080357142857,0.5943080357142857,0.58984375,0.25,0.0,4.333333333333333,0.5833333333333334,0.4733805357216591,0.16666666666666666,0.2001840055744324,0.16666666666666666,0.2002050350677727,0.16666666666666666,0.26310000301127795,0.375,0.49059913361494567,0.7083333333333334,0.5174498242544147,0.3333333333333333,0.38162078131953847,0.8333333333333334,0.8999999999999999,0.375,0.48411009292619,0.625,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.28125,0.28125,0.2222222222222222,0.0625,0.21875,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
5,0,1,,16,256.0,32.0,1.0,0.4833984375,0.4833984375,0.46875,0.15625,0.0,4.518518518518518,0.37037037037037035,0.4733805357216591,0.18518518518518517,0.2001840055744324,0.07407407407407407,0.2002050350677727,0.2962962962962963,0.26310000301127795,0.5185185185185185,0.49059913361494567,0.4444444444444444,0.5174498242544147,0.48148148148148145,0.38162078131953847,0.9629629629629629,0.8999999999999999,0.5925925925925926,0.48411009292619,0.5925925925925926,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.3125,0.3125,0.2,0.0625,0.25,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
6,0,1,,5,168.0,21.0,1.0,0.7318948412698413,0.7318948412698413,0.7261904761904762,0.14285714285714285,0.0,4.5,0.2777777777777778,0.4733805357216591,0.2777777777777778,0.2001840055744324,0.1111111111111111,0.2002050350677727,0.3333333333333333,0.26310000301127795,0.6666666666666666,0.49059913361494567,0.7222222222222222,0.5174498242544147,0.16666666666666666,0.38162078131953847,0.8888888888888888,0.8999999999999999,0.4444444444444444,0.48411009292619,0.6111111111111112,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.0,0.0,,0.0,0.0,0.0,16.0,128.0,,,5.0,0.23809523809523808,,,,,,,,,,,,,,
7,0,1,,14,240.0,30.0,1.0,0.7708333333333334,0.7708333333333334,0.7666666666666667,0.23333333333333334,0.0,4.782608695652174,0.391304347826087,0.4733805357216591,0.30434782608695654,0.2001840055744324,0.391304347826087,0.2002050350677727,0.2608695652173913,0.26310000301127795,0.4782608695652174,0.49059913361494567,0.4782608695652174,0.5174498242544147,0.30434782608695654,0.38162078131953847,1.0,0.8999999999999999,0.43478260869565216,0.48411009292619,0.7391304347826086,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,16.0,128.0,,,14.0,0.4666666666666667,,,,,,,,,,,,,,
8,0,1,,16,256.0,32.0,1.0,0.57421875,0.57421875,0.57421875,0.15625,0.0,4.444444444444445,0.37037037037037035,0.4733805357216591,0.1111111111111111,0.2001840055744324,0.2962962962962963,0.2002050350677727,0.37037037037037035,0.26310000301127795,0.4074074074074074,0.49059913361494567,0.5185185185185185,0.5174498242544147,0.2222222222222222,0.38162078131953847,0.9259259259259259,0.8999999999999999,0.6666666666666666,0.48411009292619,0.5555555555555556,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.15625,0.15625,0.0,0.0,0.15625,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
9,0,1,,15,248.0,31.0,1.0,0.6127016129032258,0.6127016129032258,0.6088709677419355,0.16129032258064516,0.0,4.769230769230769,0.5,0.4733805357216591,0.38461538461538464,0.2001840055744324,0.34615384615384615,0.2002050350677727,0.23076923076923078,0.26310000301127795,0.6923076923076923,0.49059913361494567,0.5384615384615384,0.5174498242544147,0.19230769230769232,0.38162078131953847,0.9615384615384616,0.8999999999999999,0.34615384615384615,0.48411009292619,0.5769230769230769,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.16129032258064516,0.16129032258064516,0.0,0.0,0.16129032258064516,0.0,16.0,128.0,,,15.0,0.4838709677419355,,,,,,,,,,,,,,
10,0,1,,16,256.0,32.0,1.0,0.6733668154761905,0.6733668154761905,0.6328125,0.1875,0.0,4.884615384615385,0.34615384615384615,0.4733805357216591,0.23076923076923078,0.2001840055744324,0.23076923076923078,0.2002050350677727,0.2692307692307692,0.26310000301127795,0.6153846153846154,0.49059913361494567,0.6153846153846154,0.5174498242544147,0.5,0.38162078131953847,0.9615384615384616,0.8999999999999999,0.5769230769230769,0.48411009292619,0.5384615384615384,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.1875,0.1875,0.0,0.0,0.1875,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
11,0,1,,13,232.0,29.0,1.0,0.6905659893267652,0.6905659893267652,0.6594827586206896,0.27586206896551724,0.0,4.190476190476191,0.47619047619047616,0.4733805357216591,0.14285714285714285,0.2001840055744324,0.14285714285714285,0.2002050350677727,0.23809523809523808,0.26310000301127795,0.42857142857142855,0.49059913361494567,0.5714285714285714,0.5174498242544147,0.38095238095238093,0.38162078131953847,0.9523809523809523,0.8999999999999999,0.38095238095238093,0.48411009292619,0.47619047619047616,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.13793103448275862,0.13793103448275862,0.25,0.034482758620689655,0.10344827586206896,0.0,16.0,128.0,,,13.0,0.4482758620689655,,,,,,,,,,,,,,
12,0,1,,16,256.0,32.0,1.0,0.68505859375,0.68505859375,0.66796875,0.25,0.0,4.833333333333333,0.5,0.4733805357216591,0.125,0.2001840055744324,0.25,0.2002050350677727,0.4583333333333333,0.26310000301127795,0.5416666666666666,0.49059913361494567,0.75,0.5174498242544147,0.4166666666666667,0.38162078131953847,0.875,0.8999999999999999,0.375,0.48411009292619,0.5416666666666666,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.15625,0.15625,0.2,0.03125,0.125,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
13,0,1,,16,256.0,32.0,1.0,0.75,0.75,0.734375,0.125,0.0,4.392857142857143,0.5357142857142857,0.4733805357216591,0.10714285714285714,0.2001840055744324,0.10714285714285714,0.2002050350677727,0.25,0.26310000301127795,0.35714285714285715,0.49059913361494567,0.5357142857142857,0.5174498242544147,0.5,0.38162078131953847,0.8571428571428571,0.8999999999999999,0.42857142857142855,0.48411009292619,0.7142857142857143,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.15625,0.15625,0.0,0.0,0.15625,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
14,0,1,,16,256.0,32.0,1.0,0.6458333333333334,0.6458333333333334,0.6171875,0.21875,0.0,4.2,0.36,0.4733805357216591,0.2,0.2001840055744324,0.04,0.2002050350677727,0.16,0.26310000301127795,0.36,0.49059913361494567,0.52,0.5174498242544147,0.48,0.38162078131953847,0.92,0.8999999999999999,0.48,0.48411009292619,0.68,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.15625,0.15625,0.0,0.0,0.15625,0.0,16.0,128.0,,,16.0,0.5,,,,,,,,,,,,,,
15,0,1,,13,232.0,29.0,1.0,0.684985632183908,0.684985632183908,0.6724137931034483,0.1724137931034483,0.0,4.666666666666667,0.5,0.4733805357216591,0.125,0.2001840055744324,0.16666666666666666,0.2002050350677727,0.20833333333333334,0.26310000301127795,0.4583333333333333,0.49059913361494567,0.5833333333333334,0.5174498242544147,0.375,0.38162078131953847,0.9166666666666666,0.8999999999999999,0.6666666666666666,0.48411009292619,0.6666666666666666,0.5796673375052258,0.2,0.2001840055744324,0.44903167489954565,0.8999999999999999,0.06896551724137931,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,16.0,128.0,,,13.0,0.4482758620689655,,,,,,,,,,,,,,
